county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
4015,US,7/6/2020,69.6,86.9,101.7,2,9,22,1,2.3,4.3
32003,US,7/6/2020,78.2,91.9,102.8,6,10,16,2.6,3.5,4.1
32017,US,7/6/2020,67.5,80.4,92.2,6,10,15,2.2,2.7,3
49055,US,7/6/2020,61.1,85.7,103,6,10,20,2.2,3,3.9
49007,US,7/6/2020,64.4,79.4,92.1,8,10,16,2,2.8,3.5
4012,US,7/6/2020,76.6,94.9,108.3,4,11,22,2.5,3.5,4.8
32009,US,7/6/2020,62.7,80.8,97.1,5,11,19,2.2,2.8,3.6
32011,US,7/6/2020,54.2,74.4,92.9,5,11,20,1.8,2.3,2.8
49025,US,7/6/2020,63.2,81,95.6,5,11,23,1.8,2.8,4
4009,US,7/6/2020,79.7,96,109.6,5,11,21,3,4.3,5.5
4011,US,7/6/2020,78.2,92.4,105.6,6,11,18,3.4,4,5
6027,US,7/6/2020,70.2,82.5,93.2,7,11,17,2.1,3.1,3.8
4017,US,7/6/2020,68.9,81.2,91.8,7,11,17,2.7,3.1,3.6
49017,US,7/6/2020,63.8,79,91.8,5,12,23,1.9,2.8,3.9
6071,US,7/6/2020,75.5,91.4,105.1,5,12,19,2.9,3.8,4.8
49027,US,7/6/2020,62,82.3,100.3,5,12,26,2.4,3,3.8
32023,US,7/6/2020,54.8,76.9,91.8,6,12,23,2.4,2.7,3
49015,US,7/6/2020,64.9,80.8,93.4,7,12,21,2.4,3.1,4
32033,US,7/6/2020,54.5,73.4,87.4,7,12,20,2.1,2.5,3.1
4013,US,7/6/2020,77.8,96.8,111.2,7,12,20,3,4.7,6.7
32015,US,7/6/2020,55.3,71.7,85.4,4,13,26,1.4,2.4,3.2
32005,US,7/6/2020,47.3,64.2,79.3,5,13,23,1.2,2.2,3.3
4007,US,7/6/2020,75.8,89.3,102.8,5,13,21,2.8,4.1,5.2
32021,US,7/6/2020,54.2,72.3,89.8,5,13,26,1.8,2.5,3
6065,US,7/6/2020,73.1,87.1,99.3,6,13,20,2.6,3.6,5
49019,US,7/6/2020,66.8,84.8,98.8,6,13,26,2.7,3.7,5.1
49001,US,7/6/2020,62.3,77,90.5,7,13,23,2.4,3,4
4001,US,7/6/2020,60.8,79.3,93.3,7,13,24,2.7,3.1,3.7
49053,US,7/6/2020,65.4,76.7,86,8,13,20,2.1,3.2,4.2
32027,US,7/6/2020,62.1,78.5,94.5,5,14,28,2.1,3,4
49023,US,7/6/2020,58.8,79.9,97.1,6,14,29,2.6,3.3,4.5
4021,US,7/6/2020,77.1,93.8,106.7,7,14,22,4,5,6.4
49041,US,7/6/2020,59.6,73.8,85.3,10,14,22,2.6,3.2,4
32001,US,7/6/2020,53.5,66.7,79.8,5,15,32,1.5,2.5,3.8
6025,US,7/6/2020,73.6,93,109.8,7,15,25,3.3,4.9,8.4
8077,US,7/6/2020,68.4,82.1,93.3,9,15,23,3.1,4.3,6
49031,US,7/6/2020,58.2,72.3,83.8,9,15,26,2.5,3.2,4
32013,US,7/6/2020,55.5,75.1,92.4,6,16,30,2.1,3,4
49045,US,7/6/2020,63.1,83.6,98.9,5,17,45,2.1,4.2,6.7
32031,US,7/6/2020,58.7,76.8,94.1,6,17,30,2.2,3.4,4.1
49047,US,7/6/2020,59.5,80.4,98.5,6,17,34,2.8,3.9,4.9
4025,US,7/6/2020,59.7,79.3,95.5,7,17,37,2.3,3.9,5.2
32019,US,7/6/2020,49.5,74.1,94.1,6,18,44,2,3.2,4.9
32029,US,7/6/2020,54.7,67.9,81.4,7,18,37,2,3,4.2
49037,US,7/6/2020,61.6,74,85.9,10,18,38,2.2,4.1,6.7
6029,US,7/6/2020,68.8,82,94.4,8,19,36,2.7,4.4,5.8
8085,US,7/6/2020,58.6,69.6,78.6,10,19,31,2.9,3.9,5.6
8113,US,7/6/2020,61.5,73.2,83.3,11,19,32,3.2,4.2,6
8091,US,7/6/2020,61.9,74.8,86.5,12,19,28,3.6,4.5,6.3
32007,US,7/6/2020,48.9,72.5,92.8,6,20,43,2.2,3.5,6
4019,US,7/6/2020,76.2,91.7,105.3,8,20,32,4.6,6.5,8.5
35023,US,7/6/2020,72.2,87.4,99.7,8,20,37,3.5,5.9,8.7
56037,US,7/6/2020,46.3,72.3,89.7,8,20,50,3,3.6,4.8
49021,US,7/6/2020,52.4,75.4,91.8,10,20,41,2.3,4,5.5
6003,US,7/6/2020,52.4,59.5,68.2,12,20,32,1.3,2.9,4.6
32510,US,7/6/2020,46.4,70,88,6,21,48,2,3.3,4.2
6051,US,7/6/2020,51.8,66.8,81.1,8,21,42,2.2,3.3,4.8
49039,US,7/6/2020,51.7,76.5,96,8,21,47,3.5,4.3,5.7
8103,US,7/6/2020,55.2,73.9,87.1,9,21,43,3.1,4.4,5.9
35045,US,7/6/2020,67.2,80.4,91.9,10,21,37,3.4,5.5,7.4
8081,US,7/6/2020,51,73.9,92.2,7,22,49,3,4.2,5.9
56007,US,7/6/2020,50.5,71.4,88.4,7,22,44,2.8,3.8,5.2
4003,US,7/6/2020,64.4,84.1,100.5,8,22,47,4.2,5.7,8.9
35017,US,7/6/2020,69.4,81.2,96.3,9,22,35,3.8,5.8,8.3
35003,US,7/6/2020,60.9,75.6,88.4,9,22,37,3.5,5.1,7.7
35031,US,7/6/2020,60.5,73.6,84.6,9,22,46,2.8,4.6,6.9
16023,US,7/6/2020,56.7,66.2,76.4,12,22,33,3,3.8,5.3
6109,US,7/6/2020,52.2,64.7,77.5,13,22,37,1.6,3.6,5.8
6035,US,7/6/2020,50.1,68.9,85.6,9,23,43,2.7,3.7,4.6
8029,US,7/6/2020,58.5,72.2,84.6,10,23,41,3.3,4.8,6.8
4027,US,7/6/2020,76.1,95.4,110.9,11,23,38,6,7.6,10.4
6073,US,7/6/2020,69,79.5,90.6,12,23,39,3,5.3,8
49013,US,7/6/2020,54.9,72.9,87.1,13,23,37,3.7,4.9,7.1
6079,US,7/6/2020,59.7,75,90.7,7,24,41,2.5,4.2,5.2
4005,US,7/6/2020,50.7,72.5,89.8,8,24,55,3.1,4.1,5.6
35029,US,7/6/2020,71.2,85.8,99.9,10,24,34,4.9,7.1,9
6069,US,7/6/2020,56.4,68.2,80.2,12,24,48,2.3,3.8,6
49049,US,7/6/2020,57.5,79.9,99.7,6,25,52,3,5.4,6.7
16071,US,7/6/2020,60.9,72.3,82.3,13,25,37,3.8,5.1,6.9
49043,US,7/6/2020,46.5,62.1,76.1,14,25,43,3.4,4,4.6
8045,US,7/6/2020,52.8,64.3,73.8,15,25,39,2.8,4.5,6.2
49051,US,7/6/2020,49.1,61.9,72.9,16,25,34,2.9,3.9,5.1
6021,US,7/6/2020,69.7,80.9,91.9,18,25,44,4.5,5.9,8.3
6103,US,7/6/2020,66.8,81.7,93.9,19,25,38,4.4,5.9,8.3
41025,US,7/6/2020,47.3,67.6,85.6,9,26,53,2.8,4,5.6
16013,US,7/6/2020,51.5,70.6,86.2,10,26,52,3,4.2,5.2
8083,US,7/6/2020,57.5,77,94,10,26,49,4.3,5.7,7.4
49009,US,7/6/2020,46,66.7,82,11,26,51,3.5,4.4,4.9
6019,US,7/6/2020,64.3,81.2,97.5,11,27,47,4.6,5.8,6.9
35053,US,7/6/2020,65.8,82.6,98.6,11,27,46,5.2,7.3,8.6
49035,US,7/6/2020,61.8,81.5,96.2,11,27,48,4.9,6.5,7.4
35039,US,7/6/2020,59.3,73.9,86.7,11,27,47,3.7,5.7,7.8
