county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
6027,US,7/29/2020,75,85.4,95.5,4,8,12,1.9,2.5,3.3
32003,US,7/29/2020,81.5,93.7,104.5,4,8,13,2,2.9,4
49053,US,7/29/2020,66.2,78.7,88.9,7,11,15,2.3,2.8,3.4
32017,US,7/29/2020,68.1,82.3,94,5,10,18,1.8,2.7,3.6
6071,US,7/29/2020,78.3,94.2,108.6,5,11,21,3,3.9,4.8
32023,US,7/29/2020,58.9,78.7,94.1,5,10,22,1.4,2.4,3.2
49017,US,7/29/2020,64.1,80.2,94.4,6,13,22,2.4,3.3,4.1
32009,US,7/29/2020,66.4,83.8,99.8,4,10,22,1.9,2.7,3.8
6065,US,7/29/2020,75.5,89.7,100.7,11,16,22,3.4,5.2,6.8
4015,US,7/29/2020,67.2,89.2,105.7,7,13,24,3.2,4.1,4.9
4013,US,7/29/2020,83.6,99.9,113.6,8,17,28,5.6,6.9,8.2
49025,US,7/29/2020,63.4,82.8,98.7,4,12,28,2.1,3.1,4.4
4012,US,7/29/2020,79,98,111.2,8,16,30,5.1,6.2,7.5
49041,US,7/29/2020,58.4,72.7,85.1,10,19,31,3.2,4,5.2
6037,US,7/29/2020,68.1,78.9,89.2,10,22,32,2,5.3,8.5
32021,US,7/29/2020,62.9,78,93.1,6,17,32,2.3,3.8,5.1
32015,US,7/29/2020,62.1,77.9,91,8,15,32,2.2,3.6,5.4
32027,US,7/29/2020,65,84.1,100.4,6,16,33,2.6,4.1,6.5
32001,US,7/29/2020,61.7,74.2,84.9,9,18,34,2.7,4,5.6
49055,US,7/29/2020,67.7,84.1,100,8,19,36,3.6,5,6.7
4021,US,7/29/2020,82.4,96.5,108.7,11,20,36,6.3,7.5,9.3
6107,US,7/29/2020,70.5,79.3,87.6,23,29,36,6.3,7.3,8.3
41055,US,7/29/2020,65.1,82.1,97.7,16,27,36,4.6,6.6,8.4
6033,US,7/29/2020,64.3,77.6,90.7,15,27,37,4.9,5.8,7.5
49021,US,7/29/2020,54.4,75.7,93.7,7,19,38,2.7,3.8,4.9
49001,US,7/29/2020,62.5,78.2,91.9,6,16,38,2.1,3.7,5.8
53019,US,7/29/2020,63.1,72.1,80.7,19,27,39,3.9,5.5,7.6
41021,US,7/29/2020,69.8,82.8,95.6,16,27,39,5.8,6.8,8.4
41049,US,7/29/2020,70.1,82.7,95.8,18,29,39,6.7,7.3,8.4
49031,US,7/29/2020,56.7,70.7,83.4,12,23,39,3.6,4.6,6.4
6007,US,7/29/2020,75.3,84.5,94.2,10,25,39,3.7,6.4,8.7
6005,US,7/29/2020,69.8,80.6,92.8,16,29,40,5.6,6.6,8.5
53023,US,7/29/2020,71.1,80.4,90.4,24,32,41,6.7,8,9.1
32031,US,7/29/2020,65.8,84.1,101,7,20,41,2.7,5.1,7
35045,US,7/29/2020,64.8,78.2,90.3,9,24,42,3.4,5.8,8.8
35043,US,7/29/2020,64.2,79.1,93.2,11,25,42,4.1,6.3,10.1
53017,US,7/29/2020,63.6,80.4,95.6,11,24,42,4.2,5.4,6.2
