county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
49019,US,7/2/2020,63.9,78.9,91.2,7,12,20,2.4,3,3.6
8077,US,7/2/2020,64.8,76.3,87.5,10,14,21,2.7,3.4,4.2
32003,US,7/2/2020,74.6,85,94.6,10,16,22,3.7,4.6,6.1
49007,US,7/2/2020,57.2,72.1,84.3,8,15,23,2.5,3,3.8
32015,US,7/2/2020,52,67.5,79,9,15,23,2.1,2.6,3.1
8103,US,7/2/2020,57.8,69.7,80.8,11,17,24,3,3.2,3.7
6071,US,7/2/2020,71.5,85.7,98.9,6,16,25,2.5,4.3,5.4
35039,US,7/2/2020,53.7,70.6,84.6,11,18,25,2.6,3.6,4.3
32017,US,7/2/2020,63.5,73.7,83.2,14,19,26,3.7,4.1,4.5
49015,US,7/2/2020,58.9,73.8,85.3,7,15,27,2.3,3,3.8
6027,US,7/2/2020,64,75.6,85.6,9,16,27,2.7,3.5,4.8
8085,US,7/2/2020,51.3,62.5,71.5,13,20,27,2.7,3.3,4.4
49037,US,7/2/2020,58.2,68,77.6,15,20,27,2.6,3.8,5
49055,US,7/2/2020,58,78.3,92.1,8,14,27,2.5,3.2,4
8113,US,7/2/2020,50.4,65.8,77.4,14,21,27,2.8,3.7,5
32027,US,7/2/2020,54.1,72.6,87.1,9,16,27,2,3.1,4.5
8105,US,7/2/2020,52.3,65,78.2,15,20,27,2.4,3.6,4.7
8091,US,7/2/2020,56.9,70.1,82.6,16,21,28,2.9,4.3,5.4
35045,US,7/2/2020,59.5,73.5,85.8,16,21,28,3,4.6,6.4
6029,US,7/2/2020,68.1,80.4,92.9,14,22,28,4.1,4.9,5.8
32009,US,7/2/2020,61.2,75.8,88.8,9,17,28,3,3.6,4.3
49017,US,7/2/2020,55.2,71,83.5,9,18,29,2.7,3.3,4.2
4015,US,7/2/2020,63.2,82.2,95.2,12,19,30,2.9,5.1,7.1
8055,US,7/2/2020,51.1,74.4,88.8,10,18,31,2.4,4,5.8
8045,US,7/2/2020,48,58.5,67.7,17,23,31,2.9,3.4,4.1
32031,US,7/2/2020,58.4,74.6,89.8,10,20,31,2.9,3.9,5.9
35031,US,7/2/2020,56,68.4,78.2,15,23,31,3.4,4.4,5.6
4013,US,7/2/2020,75.5,91.4,103,15,20,32,3.7,7,10.5
32011,US,7/2/2020,51.1,68.5,83,11,19,32,2.6,3.4,3.8
4012,US,7/2/2020,71.4,89.1,102.2,15,22,32,3.4,7.1,9.5
16023,US,7/2/2020,47.1,58.3,68,19,24,32,2.4,3.2,3.8
49041,US,7/2/2020,54.5,67.2,79.2,11,20,33,3,3.5,4
49025,US,7/2/2020,53.9,73.5,88.5,11,19,33,3,3.8,4.7
35006,US,7/2/2020,56.9,70.6,81.2,13,22,33,3.2,4.4,6.5
8015,US,7/2/2020,47.3,61.6,72.1,13,22,34,2.6,3.4,4
49047,US,7/2/2020,55.1,74.8,90.8,5,18,34,1.9,3.3,4.1
8021,US,7/2/2020,46.3,65.8,81.2,10,19,34,2.3,3.3,4.8
8029,US,7/2/2020,50.9,66.1,78.6,13,21,34,2.9,3.6,4.3
49031,US,7/2/2020,51.8,64.9,76.1,12,22,35,3,3.5,4.1
32001,US,7/2/2020,52,63.5,73.3,12,19,35,2.3,2.9,4.7
35055,US,7/2/2020,46.8,70.1,85.4,13,22,35,2.4,4.6,6.6
4027,US,7/2/2020,73,90.4,104,14,23,35,2.9,7.4,10.4
35043,US,7/2/2020,62.2,78.6,92.7,10,17,35,3.2,4.2,7
32021,US,7/2/2020,54,67.7,81,12,24,36,3.3,4,5.5
35047,US,7/2/2020,68.8,79.1,89.9,14,21,36,3.9,5.5,7.7
8109,US,7/2/2020,48.1,63.6,75.7,13,23,36,2.9,3.9,4.9
49049,US,7/2/2020,59.4,76.9,92,8,20,36,3.3,4.3,5.6
49053,US,7/2/2020,58.9,69.1,79,17,23,36,3.2,4.4,6.2
4017,US,7/2/2020,56.6,73.2,85.3,15,25,36,4.1,5.4,7.5
