county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
49037,US,2020-07-01,49.4,64.1,75.5,12,16,19,1.8,2.5,3.1
35047,US,2020-07-01,62.2,77.2,89.4,8,14,19,2.2,3.4,4.5
04015,US,2020-07-01,62.6,79.9,93.7,11,15,19,2.5,3.6,4.8
32003,US,2020-07-01,72.0,83.6,92.1,11,15,21,2.4,4.1,4.9
35033,US,2020-07-01,51.2,68.0,81.3,9,14,21,2.1,2.7,3.4
08113,US,2020-07-01,47.6,63.0,76.0,11,16,21,1.7,2.6,3.7
08091,US,2020-07-01,51.0,67.1,80.7,11,16,22,1.7,3.0,4.3
35049,US,2020-07-01,53.7,71.2,86.0,7,15,22,2.4,2.9,4.1
06027,US,2020-07-01,64.5,75.2,85.1,11,17,23,3.1,3.8,4.5
04013,US,2020-07-01,71.3,88.2,102.4,6,13,23,2.8,3.8,6.2
04009,US,2020-07-01,68.0,87.0,100.9,10,15,23,3.2,4.6,6.4
08105,US,2020-07-01,45.2,60.7,75.4,12,17,23,1.7,2.6,3.9
32017,US,2020-07-01,60.9,72.4,82.3,10,15,24,2.2,3.1,4.3
35019,US,2020-07-01,61.6,79.7,94.4,10,18,25,3.2,4.5,6.0
04021,US,2020-07-01,69.3,86.6,100.3,12,18,25,3.4,5.3,6.5
32023,US,2020-07-01,53.5,70.5,83.2,10,17,25,2.5,3.1,3.5
08109,US,2020-07-01,39.7,58.8,74.6,11,18,26,1.8,2.5,3.3
35028,US,2020-07-01,56.0,68.8,80.8,9,17,26,2.4,3.1,4.6
06071,US,2020-07-01,71.3,85.3,97.3,10,17,26,3.9,4.7,5.8
08085,US,2020-07-01,42.9,58.8,69.2,12,17,27,1.7,2.4,3.2
04007,US,2020-07-01,63.4,79.5,91.5,12,18,27,3.2,4.6,5.8
49053,US,2020-07-01,55.6,67.3,77.3,14,20,28,2.6,3.5,4.9
08021,US,2020-07-01,38.1,60.6,76.7,9,17,28,1.7,2.4,3.2
35011,US,2020-07-01,63.2,82.2,96.3,9,17,28,3.7,4.6,5.9
08077,US,2020-07-01,51.1,70.4,84.0,8,14,28,2.2,2.7,3.1
35055,US,2020-07-01,41.1,64.6,82.1,10,17,29,1.9,2.8,3.8
49017,US,2020-07-01,49.9,67.8,81.8,8,17,29,2.3,2.7,3.3
49001,US,2020-07-01,52.3,67.5,79.8,10,18,29,2.7,3.1,4.2
49055,US,2020-07-01,53.9,73.4,90.0,8,16,30,2.4,3.0,3.6
08053,US,2020-07-01,38.4,49.1,58.6,16,21,30,1.5,2.4,3.2
49025,US,2020-07-01,50.4,71.4,87.8,8,16,30,2.6,2.9,3.5
08023,US,2020-07-01,39.0,62.4,79.4,9,17,31,1.8,2.5,3.2
49041,US,2020-07-01,48.5,63.9,76.7,12,20,31,2.8,3.0,3.3
08079,US,2020-07-01,34.0,49.0,59.5,16,21,31,1.5,2.4,3.5
08029,US,2020-07-01,45.6,62.0,75.7,11,19,31,2.4,2.8,3.3
32015,US,2020-07-01,48.2,63.8,76.2,10,17,31,2.1,2.6,3.0
32009,US,2020-07-01,58.2,74.6,88.9,8,17,32,2.8,3.5,4.2
49031,US,2020-07-01,47.4,62.3,75.2,11,20,32,2.6,2.9,3.6
35015,US,2020-07-01,72.8,84.8,95.8,11,22,32,4.4,6.1,7.7
35053,US,2020-07-01,64.0,80.1,93.0,10,18,32,3.7,4.7,7.1
35039,US,2020-07-01,49.6,67.0,82.0,8,18,33,2.0,3.0,4.7
35043,US,2020-07-01,59.3,74.8,88.3,9,17,33,2.7,3.8,5.0
35027,US,2020-07-01,60.5,75.3,88.6,10,20,33,3.7,4.6,6.4
08015,US,2020-07-01,41.6,56.8,69.7,11,20,33,1.9,2.7,4.0
35045,US,2020-07-01,53.5,70.6,84.3,9,19,33,1.9,3.7,6.3
04012,US,2020-07-01,70.3,86.2,99.3,7,17,33,3.0,4.4,5.7
35001,US,2020-07-01,58.2,78.0,91.7,10,20,34,3.7,4.5,6.6
48229,US,2020-07-01,70.4,79.9,87.3,17,25,34,5.5,6.5,8.0
08067,US,2020-07-01,43.1,62.8,80.2,14,22,34,2.3,3.4,4.5
06065,US,2020-07-01,65.9,79.2,89.5,16,25,34,4.4,5.8,7.3
08033,US,2020-07-01,33.9,56.0,72.9,15,23,34,1.7,2.8,4.0
32031,US,2020-07-01,56.6,73.0,88.1,11,20,34,3.0,3.8,4.6
48141,US,2020-07-01,68.4,80.7,89.9,16,24,34,5.2,6.1,8.0
08097,US,2020-07-01,40.5,53.2,64.7,15,23,34,2.3,2.7,3.2
35007,US,2020-07-01,53.4,71.9,86.7,10,18,34,2.3,3.6,4.9
32011,US,2020-07-01,46.9,66.4,82.6,10,18,35,2.5,2.9,3.1
35061,US,2020-07-01,56.2,76.9,91.1,10,21,35,3.9,4.8,6.6
04027,US,2020-07-01,69.1,85.8,101.1,7,19,36,2.7,4.5,7.2
35005,US,2020-07-01,69.4,86.5,99.5,8,19,36,3.4,5.3,7.1
35006,US,2020-07-01,53.5,68.6,81.7,9,19,37,2.5,3.3,4.6
49019,US,2020-07-01,56.7,73.5,87.7,7,17,37,2.3,3.2,4.5
32027,US,2020-07-01,54.9,71.4,85.4,8,18,37,1.4,3.2,4.3
49007,US,2020-07-01,46.7,65.7,80.4,10,20,37,2.3,3.1,3.7
