county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
32003,US,7/14/2020,81.1,91.7,100.5,4,8,16,1.9,2.8,4.2
32017,US,7/14/2020,72.4,82.1,92.2,6,11,18,2,3.2,4
6027,US,7/14/2020,72.4,83.9,93.9,9,13,19,3.5,3.8,4.3
6071,US,7/14/2020,76.8,91.4,105.8,4,10,19,2,3.2,5.3
32009,US,7/14/2020,68.6,84.4,98.2,7,12,20,3.1,3.5,4.2
32027,US,7/14/2020,66.4,80.4,93.4,9,14,20,2.9,3.7,4.5
48389,US,7/14/2020,79.6,96.7,110.9,8,14,22,4.9,5.8,7.1
48475,US,7/14/2020,83.7,98.4,113,8,14,22,5,6.1,6.8
48495,US,7/14/2020,82.7,96.6,111.4,9,16,23,5.7,6.3,7.1
48109,US,7/14/2020,79.4,90.1,102.7,10,17,23,4.5,6.1,7.6
48135,US,7/14/2020,85.6,96.6,109.6,8,16,23,5.5,6.4,7.1
48371,US,7/14/2020,83.1,94,106.5,10,17,24,5.3,6.3,7.5
48107,US,7/14/2020,84.3,95.9,109.2,7,16,24,4.2,6.3,7.3
48003,US,7/14/2020,82.6,94.5,108.8,9,17,24,5.8,6.8,9.1
49001,US,7/14/2020,64.8,78.4,90.5,9,15,25,2.9,4,5
32031,US,7/14/2020,62.4,83.2,96.7,10,15,25,3,4,5
48043,US,7/14/2020,82.4,94.1,106.2,7,16,25,4.2,5.8,7.2
49053,US,7/14/2020,70.6,78.4,86.7,12,18,25,4,4.7,5.6
48329,US,7/14/2020,86,97.3,109.9,9,16,25,5.5,6.7,7.8
48317,US,7/14/2020,83.9,96.1,109.8,10,17,26,5.8,6.8,7.9
6065,US,7/14/2020,76.6,87.8,98.6,6,12,26,1.8,3.8,7.3
48125,US,7/14/2020,83.6,96.5,110,11,18,26,6.3,7.2,8.4
32023,US,7/14/2020,61.7,79.1,93.2,9,14,27,2.4,3.5,4.3
48303,US,7/14/2020,82.8,94.8,108.9,10,18,27,6.2,7.3,8.4
48345,US,7/14/2020,87.4,99.6,113,9,15,27,6,6.6,8.4
48377,US,7/14/2020,76.1,88.6,102.1,11,17,27,4.4,5.9,6.9
35025,US,7/14/2020,74.7,92.5,106.6,8,16,27,5,5.9,7.5
49017,US,7/14/2020,67.1,81.6,92.5,9,17,27,3.7,4.7,9.2
48301,US,7/14/2020,76.4,95.7,110.8,8,17,27,5.6,6.7,8.5
32021,US,7/14/2020,58.7,73.9,87.9,9,17,28,3.1,3.5,4.2
32013,US,7/14/2020,59.3,75.9,90.4,9,16,28,2.9,3.4,3.9
49041,US,7/14/2020,61.6,74.2,84,15,21,28,4.2,4.8,5.4
48153,US,7/14/2020,82.1,93.6,107.1,10,19,28,6.1,7.1,8.3
48103,US,7/14/2020,82.7,97.6,111.7,10,17,28,6,6.9,8.2
48169,US,7/14/2020,83.1,97,111.3,10,17,28,5.6,6.9,8.4
48263,US,7/14/2020,83.3,98.2,113.1,9,17,28,5.8,7.2,9.5
49031,US,7/14/2020,63.2,73.8,84.5,13,20,29,3.5,4.5,5.2
48243,US,7/14/2020,76.1,85.1,95,14,18,29,4.6,5.8,8.4
48227,US,7/14/2020,81.1,96.8,111.8,9,17,29,5.2,6.6,8.5
48461,US,7/14/2020,85,95.2,107.3,9,18,29,5.2,6.9,8.6
48033,US,7/14/2020,79.4,95,110.7,10,19,30,5.6,7,8.6
48101,US,7/14/2020,86.8,98.4,112.5,10,18,30,6.2,7.5,9
48151,US,7/14/2020,86.5,98.9,112.7,7,16,30,4.9,6.6,9.8
48219,US,7/14/2020,77.5,94,107.8,9,18,30,5.7,6.9,8.6
49025,US,7/14/2020,68.7,83.1,97,11,18,30,4.1,5.2,5.9
48173,US,7/14/2020,84,95.8,109,9,18,31,5.2,7,9.1
49003,US,7/14/2020,68.5,75.7,83.9,13,22,31,3.4,4.8,6.3
6029,US,7/14/2020,69.9,83.5,96.4,10,20,31,3.8,4.9,5.6
48501,US,7/14/2020,73.4,92.9,107.1,9,18,32,5.4,6.5,8.2
48115,US,7/14/2020,78.6,93.6,109.5,10,19,32,6.3,7,8.2
32033,US,7/14/2020,54.6,73.5,88.1,10,18,32,3.1,3.9,4.7
6025,US,7/14/2020,79.6,94.1,109.9,7,16,32,2.4,5.6,10.6
48189,US,7/14/2020,81.7,94,107.9,9,19,32,5.1,7.1,8.7
4012,US,7/14/2020,82.3,96.8,107.8,10,16,32,3.8,6.4,8.4
48275,US,7/14/2020,83.2,97.4,113.2,11,22,32,7.3,8.8,11.3
32015,US,7/14/2020,59.1,73.1,85.3,10,19,33,3.1,4,5
48305,US,7/14/2020,77.9,93.5,108.7,10,19,33,6,7,8.1
48415,US,7/14/2020,83,97.1,112.4,8,18,33,5.6,7,10
48165,US,7/14/2020,74.7,92.9,107.6,10,19,33,6.4,7,8.5
48383,US,7/14/2020,84.9,94.6,107.6,8,19,33,4.8,6.8,9.9
48335,US,7/14/2020,83.6,98.4,113.6,7,17,33,4.9,6.8,10.1
35015,US,7/14/2020,77.2,93.8,108.7,10,20,33,6.2,7.3,8.6
32011,US,7/14/2020,55.7,73.6,89.5,10,19,33,3,3.8,4.5
48079,US,7/14/2020,74.7,92.5,107.2,9,19,33,5.2,6.6,8.3
16073,US,7/14/2020,63.5,73.5,84.1,12,23,33,3.3,4.4,5.4
49047,US,7/14/2020,65.5,81.3,94.1,8,17,33,3.2,4.2,5.6
32001,US,7/14/2020,59.2,70.6,80.4,10,19,34,2.8,3.8,4.7
49045,US,7/14/2020,65.7,78.3,89.4,10,18,34,3,4.1,6
16071,US,7/14/2020,53.9,63.7,73.3,16,24,34,2.7,3.7,4.3
4015,US,7/14/2020,74,90,101.2,9,16,34,3.8,5.2,7.1
48269,US,7/14/2020,82.6,95.3,111.2,13,24,34,7.8,8.9,10.9
48155,US,7/14/2020,84.8,96.7,113.6,11,23,34,7.5,8.9,10.8
48045,US,7/14/2020,83.8,95.6,109.9,10,19,35,6.1,7.5,10.3
35035,US,7/14/2020,71.5,89,102.8,11,21,35,5.8,6.8,8.6
49037,US,7/14/2020,68,76.3,85.5,13,22,35,4.4,5.4,7.1
4007,US,7/14/2020,77.5,88.7,100,14,24,35,6.5,7.7,8.6
4021,US,7/14/2020,83.1,95.9,107,12,23,36,6.9,8.6,9.7
41025,US,7/14/2020,47.7,65.5,81.6,8,20,36,2.2,2.8,3.9
48433,US,7/14/2020,82.4,95.6,111.3,12,23,36,7.3,8.7,11.5
35051,US,7/14/2020,75.1,84.6,96.6,12,25,36,5.4,7.4,9
49007,US,7/14/2020,64.7,79.1,91.4,11,21,36,4.4,5.2,6.7
49013,US,7/14/2020,59.7,71.8,82.9,16,24,37,3.8,5,6.1
48191,US,7/14/2020,87.8,99.6,112.9,11,19,37,7.1,8.5,11.6
16087,US,7/14/2020,57.8,67.6,77.7,16,26,37,3.6,4.1,4.7
32029,US,7/14/2020,60,73.3,84.8,12,22,37,3.2,4.6,7.2
48253,US,7/14/2020,85.2,95.8,108,10,22,37,5.6,8.2,11.4
35041,US,7/14/2020,75.1,90.7,104.7,9,20,37,5.5,6.9,8.2
49027,US,7/14/2020,65.6,81.5,95.9,10,19,37,3.6,4.7,6
49015,US,7/14/2020,65.7,79.7,92,11,20,37,4.4,5.2,6.5
49021,US,7/14/2020,63.5,79.5,92.1,11,21,37,3.8,5.2,7.1
35043,US,7/14/2020,70.6,80.9,94.6,14,26,37,6.5,7.2,8
48207,US,7/14/2020,85.4,96.2,110.8,12,23,38,7.2,9,12
6035,US,7/14/2020,55.3,76.1,91.8,12,22,38,4,4.8,6
35005,US,7/14/2020,77.5,93.6,108.4,10,22,38,5.2,7.8,10.1
16025,US,7/14/2020,48.5,60.3,70.6,19,29,38,3.1,4.1,5
35027,US,7/14/2020,68.7,81,93.7,13,24,38,5.5,6.6,7.9
49005,US,7/14/2020,48.9,56.7,64.6,21,29,38,2.6,3.7,4.5
8077,US,7/14/2020,71.3,79.7,92.2,12,25,38,4.7,6.7,9
4013,US,7/14/2020,85.5,98.3,109.5,14,24,39,8.3,9.5,11
48431,US,7/14/2020,84.1,95.5,109.1,9,21,39,5.4,7.8,10.7
16023,US,7/14/2020,49,60.4,70.3,16,27,39,3.3,3.8,4.3
48445,US,7/14/2020,72.2,91.9,108.4,10,21,39,6.2,7.1,7.7
16031,US,7/14/2020,49.5,57.3,64.7,20,29,39,2.9,3.7,4.5
35019,US,7/14/2020,74.3,87.2,100.1,13,23,39,6.4,7.4,9.1
48443,US,7/14/2020,76.9,92.7,107.2,12,22,39,6.1,7.7,11.3
4009,US,7/14/2020,79.2,94.9,107.1,13,23,39,7,8.9,10.3
48235,US,7/14/2020,83,93.7,107.9,10,23,40,5.5,8,11
16083,US,7/14/2020,54,68.2,82.3,14,25,40,3,4.1,5.5
4017,US,7/14/2020,71,80.7,91.5,13,26,40,5.3,6.9,8.5
48229,US,7/14/2020,77.8,88.7,100.2,13,23,40,6.1,7.9,10.3
16039,US,7/14/2020,53.1,64.2,74.6,18,30,41,3.9,4.5,5.2
48105,US,7/14/2020,80.6,93,106.3,9,21,41,5.3,7.1,10
48279,US,7/14/2020,78.7,92.9,106.3,11,22,41,6.4,7.9,10.4
41069,US,7/14/2020,51.4,67.7,80.8,14,23,42,2.6,3.5,4.4
48081,US,7/14/2020,84.1,94.8,108.7,9,22,42,5.3,8,11.4
48129,US,7/14/2020,81.7,95.5,111.6,9,23,42,6,8.5,11.7
48197,US,7/14/2020,85.4,96,112.1,12,24,42,7.5,9,11.8
49023,US,7/14/2020,63.1,78.1,90.9,10,21,42,3.8,4.8,7
35028,US,7/14/2020,64.9,74.5,83.8,18,29,42,5.7,6.8,8.6
4019,US,7/14/2020,78.3,91.5,103.8,14,26,42,7.3,9.1,10.2
41045,US,7/14/2020,53.7,68.6,82.2,10,24,42,2.7,3.8,4.7
35045,US,7/14/2020,68.7,79.9,91.6,14,29,42,5.7,7.6,8.7
48087,US,7/14/2020,84.9,97.5,111.5,11,22,42,7,8.7,12.3
32007,US,7/14/2020,53.3,72.3,89.5,14,26,42,4.1,4.9,5.7
35011,US,7/14/2020,73,89.4,103.6,11,23,42,5.9,7.4,9.9
48437,US,7/14/2020,79.9,93,107.8,10,24,42,5.9,8.3,11.4
32019,US,7/14/2020,60.5,78.6,92.6,10,21,42,4,4.7,6.1
48023,US,7/14/2020,80.4,93.9,107.9,17,31,43,9.1,10.7,13.4
49051,US,7/14/2020,47.8,59.2,69.5,21,30,43,3.2,4.4,5.1
4011,US,7/14/2020,76,89.2,101.4,16,25,43,6.6,8.3,10
48075,US,7/14/2020,85.1,97.9,111.4,13,22,43,7.1,8.8,12.1
16077,US,7/14/2020,51.7,64.1,77.5,15,29,44,3.6,4.3,5.2
49057,US,7/14/2020,58.4,70.3,81,19,28,44,3.8,5.3,6.5
48017,US,7/14/2020,74.7,91.3,106.1,11,24,44,6.1,8.1,10.3
48353,US,7/14/2020,81.2,92.3,105.1,13,24,44,6.5,8.1,11.4
16013,US,7/14/2020,46.1,64.7,79.9,9,26,44,2.5,3.7,5
8081,US,7/14/2020,59.3,74.9,88.9,11,23,44,3.2,4.9,6.6
6105,US,7/14/2020,64.4,73.4,83.6,25,36,44,5.9,7.4,9.3
16045,US,7/14/2020,56.8,70.4,83.1,13,28,44,3.6,4.7,5.4
49039,US,7/14/2020,57.4,76.1,91.7,13,26,44,5.1,5.7,6.9
35031,US,7/14/2020,64.7,74.4,84.7,15,27,44,4.8,6.2,7.7
16033,US,7/14/2020,49,63,76.4,15,28,45,2.9,4,5.7
35039,US,7/14/2020,63,74.6,87.6,15,27,45,5.1,6.3,7.6
35017,US,7/14/2020,71.8,83.1,95.5,16,29,45,6.9,8.1,9.3
6107,US,7/14/2020,64.8,74.1,83.6,23,29,45,4.1,6.1,7.8
48069,US,7/14/2020,77.7,91.9,107.3,8,26,45,4.8,8.9,12.1
53023,US,7/14/2020,49.5,65,77.5,19,32,46,3.9,4.5,5.3
8113,US,7/14/2020,62.4,72.9,84.5,13,28,46,4.3,6,7.7
48011,US,7/14/2020,81,94.3,108.7,9,23,46,5.7,8.5,12.3
48441,US,7/14/2020,82.1,92.7,104.8,11,25,46,6.1,8.6,11.9
6039,US,7/14/2020,64,76.2,87.8,23,34,46,6.3,7.1,7.8
40057,US,7/14/2020,84,97.3,112.4,9,22,46,6,8.4,12.8
16003,US,7/14/2020,53.1,66.5,80.3,14,30,47,3.6,4.5,5.3
32005,US,7/14/2020,56.3,69.5,81.3,11,26,47,3.2,4.8,7.5
8091,US,7/14/2020,63.1,75.2,86.1,17,26,47,4.3,6.1,7.7
53019,US,7/14/2020,49.4,59.6,68.2,26,38,47,3.6,4.9,5.8
16047,US,7/14/2020,53.4,69.6,84.1,10,26,47,2.8,4.2,5.5
48465,US,7/14/2020,78.7,92.6,106.8,12,28,47,6.1,8.9,13
16015,US,7/14/2020,49.2,58.1,66.4,25,39,48,4.1,5,6.2
6049,US,7/14/2020,51.9,71.2,86.4,11,24,48,2.9,4.1,5.8
49049,US,7/14/2020,61.2,76.5,90.1,17,32,48,5.9,7.1,8.3
49019,US,7/14/2020,70.3,83.7,98.9,10,25,48,4.2,6.7,9.3
6007,US,7/14/2020,71.2,80.6,90.1,26,36,48,6.5,8.4,10
48141,US,7/14/2020,76.3,89.7,103.9,12,26,49,6.8,8.5,11.9
16053,US,7/14/2020,51.9,66.6,81.2,13,31,49,3.6,4.6,5.9
6063,US,7/14/2020,53.4,67.9,79.8,22,34,49,4,6.1,8.8
35049,US,7/14/2020,65.2,76.9,89.6,18,32,49,6.8,7.6,8.5
48447,US,7/14/2020,82,92.6,105.8,20,33,49,9.8,11.3,13.9
16027,US,7/14/2020,56.3,69.7,82,15,33,49,3.9,5.2,6.2
35013,US,7/14/2020,75.5,87.5,101.1,13,27,49,6.7,8.4,11.3
35053,US,7/14/2020,67.4,80.8,98.6,12,29,50,5.8,7.5,11.5
16069,US,7/14/2020,51.2,64.8,75.5,20,34,50,4.1,4.8,5.8
6051,US,7/14/2020,55.4,69.8,84.5,12,28,50,3.5,4.8,6.3
