county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
4015,US,7/9/2020,65.6,85.8,101.7,2,9,16,1.2,2.4,4.3
49055,US,7/9/2020,58.7,84.4,99.3,3,6,10,1.1,1.7,2.2
8077,US,7/9/2020,65.6,80.5,91.7,3,7,14,1.1,2,2.9
49017,US,7/9/2020,58.4,75.2,90.4,3,7,12,1.1,1.4,1.7
49001,US,7/9/2020,57.1,73.9,88.2,3,9,16,1.3,1.8,2.2
49027,US,7/9/2020,59.6,80.1,97.8,3,9,19,1.6,2,2.5
32017,US,7/9/2020,63.7,78,90,4,7,13,1.3,1.8,2.1
49025,US,7/9/2020,54.6,76.6,95,4,8,15,1.4,1.8,2.6
49031,US,7/9/2020,54.7,69,82,4,9,15,1.3,1.7,2.2
49019,US,7/9/2020,62.6,81.6,95.2,4,9,22,1.5,2.2,3.4
32003,US,7/9/2020,73.3,89,100.6,4,10,21,1.9,2.9,4.3
32023,US,7/9/2020,54.1,75.1,90.8,4,11,20,1.4,2.2,2.7
6071,US,7/9/2020,72.7,90,105.2,4,11,20,1.9,3,4.7
49039,US,7/9/2020,49.7,72.4,91.2,4,17,38,1.7,2.8,4.1
49049,US,7/9/2020,54.2,76.9,96,4,21,48,2,3.9,5.8
49053,US,7/9/2020,62.4,74.5,84.8,5,8,12,1.5,1.9,2.5
49037,US,7/9/2020,63.9,73.2,82.5,5,8,11,1.6,1.8,2.2
49015,US,7/9/2020,64,77.2,90.2,5,10,17,1.7,2.4,3.1
49007,US,7/9/2020,57.6,75.7,89.8,5,10,20,1.8,2.4,3.3
8085,US,7/9/2020,57.5,67.1,75.8,5,10,21,1.2,1.9,3
6065,US,7/9/2020,68.3,85,96.9,5,11,23,1.9,2.9,5.2
32009,US,7/9/2020,63.1,80.1,95.3,5,13,26,2.3,3.1,3.8
8015,US,7/9/2020,53.4,65.1,76.6,5,13,23,1,2.2,3.5
49023,US,7/9/2020,54.3,76.2,93.8,5,14,31,1.9,2.8,4.5
8103,US,7/9/2020,52.1,70.5,84.4,5,15,30,1.6,2.6,3.7
8109,US,7/9/2020,50.9,66.9,81.7,5,15,31,1.1,2.7,3.9
8081,US,7/9/2020,50.4,70.8,88.9,5,16,35,1.8,2.9,4
8023,US,7/9/2020,51.2,69.6,85.9,5,18,35,1.8,3.2,4.1
49045,US,7/9/2020,61.1,79.8,94.5,5,20,50,2.1,4.2,6.9
8003,US,7/9/2020,45,69.4,88.2,5,21,46,1.9,3.4,4.4
49041,US,7/9/2020,53.7,70.4,83.6,6,9,14,1.4,1.8,2.2
6027,US,7/9/2020,66.1,80.2,91,6,11,18,2.3,2.8,3.2
8113,US,7/9/2020,57.3,70.3,82.3,6,12,21,1.8,2.3,3.1
8091,US,7/9/2020,59.3,73.7,86.1,6,12,20,1.8,2.7,4.1
32033,US,7/9/2020,50.5,70.8,85,6,12,22,1.8,2.3,2.6
8029,US,7/9/2020,56.8,70.4,83.1,6,12,23,1.5,2.4,3.8
49021,US,7/9/2020,50.3,72.7,90.2,6,15,32,2,2.8,4
32015,US,7/9/2020,54,70.3,82.8,6,15,28,1.9,2.8,3.5
49047,US,7/9/2020,60.6,78.2,93.6,6,16,32,2.5,3.5,4.6
8055,US,7/9/2020,63,79.4,94.3,6,17,44,2.6,4.4,7.9
8021,US,7/9/2020,47.6,68.9,83.9,6,17,39,2,3.1,4.3
35007,US,7/9/2020,61.7,81,96,6,17,53,2.6,4.3,10.1
35055,US,7/9/2020,51.9,73.2,90.7,6,18,36,2.4,3.6,4.7
8083,US,7/9/2020,51,73.8,93.3,6,20,42,2.8,3.7,4.9
32011,US,7/9/2020,51.7,72.1,89.1,7,15,32,2.1,2.8,3.5
35047,US,7/9/2020,74.1,85.5,96.5,7,15,29,3,4.6,7.1
35049,US,7/9/2020,65.2,80.2,93.7,7,16,28,3.2,4.1,5.2
4012,US,7/9/2020,76.2,94.8,108.7,7,16,28,3.8,5.9,8.6
35033,US,7/9/2020,62.5,75.8,87,7,17,47,2.6,4,8.1
32027,US,7/9/2020,57.8,78,93,7,20,45,2.7,4.2,5.6
8051,US,7/9/2020,41.9,60.7,77.7,7,20,38,1.5,2.7,4.8
6025,US,7/9/2020,74.5,91.6,107.5,7,21,40,3.6,6.5,11.6
8033,US,7/9/2020,42.9,62.8,79.6,7,21,47,2,2.8,3.8
8065,US,7/9/2020,37.4,59.1,76.6,7,21,45,1.7,2.7,4
8043,US,7/9/2020,59.7,78.1,92.4,7,22,63,2.7,5.2,13.3
8117,US,7/9/2020,43.8,60.9,77,7,22,44,2.1,3.1,4.4
35005,US,7/9/2020,80.1,94.3,108.6,7,24,50,4.6,8.1,12.6
35059,US,7/9/2020,64.9,81.5,94.9,7,31,83,3,7.5,15.6
8107,US,7/9/2020,37.9,62.1,86.2,7,35,74,2.3,4,5.2
35028,US,7/9/2020,69.8,78.6,87.9,8,14,22,3,3.9,4.8
8097,US,7/9/2020,50.7,60.7,71,8,15,26,1.5,2.4,4
8105,US,7/9/2020,54.6,68.6,81.3,8,17,28,2.4,3.4,5.3
35013,US,7/9/2020,75.5,90.9,103.3,8,18,30,4.6,6.1,7.2
35021,US,7/9/2020,73.9,87.3,99.2,8,18,58,3.6,5.6,12.8
32021,US,7/9/2020,55.5,71.1,85.1,8,19,33,2.6,3.4,4.8
56037,US,7/9/2020,43.9,68.4,87.2,8,20,46,2.3,3.1,4.1
56007,US,7/9/2020,44.3,67.3,84.3,8,20,44,2.4,3,4
32031,US,7/9/2020,60.9,78.8,92.3,8,20,36,3.1,4.6,5.2
32013,US,7/9/2020,54.8,74.7,90.4,8,23,45,2.8,4.2,5.5
35037,US,7/9/2020,73.4,90.5,105.3,8,23,56,4.6,7.1,11.4
8037,US,7/9/2020,44.3,66.5,86,8,24,51,2.7,3.7,5.2
8093,US,7/9/2020,44.9,63.2,79,8,25,45,2.3,3.7,5.4
49035,US,7/9/2020,60.3,78.7,93.6,8,26,55,3.3,5.7,7.7
35041,US,7/9/2020,76.6,90.3,104.7,8,26,50,4.4,8.2,11.9
48359,US,7/9/2020,77.7,91,104.8,8,28,49,4.7,9,12.5
35015,US,7/9/2020,75.5,92.6,108.2,8,28,56,5.3,9,12.8
56001,US,7/9/2020,45.5,65.5,81.1,8,30,62,2.5,4.4,8
8041,US,7/9/2020,65.9,77.5,91.1,8,30,76,3.2,7,13.4
48065,US,7/9/2020,79.4,91,107.1,8,33,56,4.4,10.1,14
48179,US,7/9/2020,75.4,89.9,110.2,8,40,68,4.9,11.9,15.4
8045,US,7/9/2020,52.6,62.3,72.3,9,14,21,1.4,2.4,3.5
35039,US,7/9/2020,60,74.5,87,9,16,28,2.7,3.6,4.6
35019,US,7/9/2020,71.4,87,100.7,9,18,29,4.5,5.6,6.3
8053,US,7/9/2020,48.4,56.9,66.4,9,18,28,1.8,2.6,3.7
