county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
6027,US,7/24/2020,65,76.6,86.3,10,15,21,2.8,3.5,4.2
32023,US,7/24/2020,56.3,72.6,85.6,8,14,21,2.1,2.9,3.4
32003,US,7/24/2020,74.7,87,95.7,9,15,24,2.3,4.8,7.6
6071,US,7/24/2020,74.1,87.5,99,14,20,27,4.3,5.8,7
32033,US,7/24/2020,48.8,67,80.1,11,20,31,2.6,3.5,4.4
32009,US,7/24/2020,61.2,76.3,89.5,7,18,37,2.4,3.6,5.3
49045,US,7/24/2020,68.1,81.9,92.4,9,21,39,3.4,5.5,7
6065,US,7/24/2020,69.4,81.3,91.8,19,30,39,5,7.7,12.1
32021,US,7/24/2020,57.5,70.3,82.3,12,27,42,3.6,4.9,6.6
32001,US,7/24/2020,59.3,67.9,77.5,11,29,42,2.8,5.2,6.5
16069,US,7/24/2020,60.2,69.1,78.9,18,30,45,4,5,6.1
56025,US,7/24/2020,64.1,74.9,85.7,16,29,45,5.2,6.6,7.8
4012,US,7/24/2020,77.1,91.3,103.4,13,26,46,5.5,8.4,10.8
6029,US,7/24/2020,68.8,81.8,92.8,20,33,48,7.1,7.7,8.3
53003,US,7/24/2020,55,68.8,82.1,15,32,49,3.7,5,6.3
53023,US,7/24/2020,55.5,65.8,75.6,19,35,49,4,5.3,6.1
32015,US,7/24/2020,57.7,71.6,82.8,10,24,49,2.9,4.6,6.5
32017,US,7/24/2020,63.8,75.2,85.4,12,25,49,4,5.2,7.8
32031,US,7/24/2020,64.7,81.2,96.1,11,26,51,4.3,6.3,7.7
16071,US,7/24/2020,59.1,68.6,77.7,23,35,51,5.2,6.4,7.6
32029,US,7/24/2020,58.9,68.3,81.2,20,39,51,5.1,6.9,8.6
56009,US,7/24/2020,62.2,72.9,85.4,20,37,51,5.9,7.4,10
6105,US,7/24/2020,61.2,69.9,81,27,41,51,6.1,7.4,9.1
56027,US,7/24/2020,68.4,76.3,85.6,23,37,51,7.3,8.3,10.1
32011,US,7/24/2020,55.4,73.2,87.5,7,23,51,2.5,4.2,6.1
6037,US,7/24/2020,61.9,69.9,78.5,25,37,52,4.2,6.6,9.4
48389,US,7/24/2020,74.6,87.6,99,23,37,53,9.8,11,12.9
56029,US,7/24/2020,56.9,64.5,73.1,22,37,53,5,6.1,7.1
6007,US,7/24/2020,70.9,79.2,88.9,28,41,53,7.8,9.2,10.3
48301,US,7/24/2020,76.2,88.2,98.7,23,37,54,10,11.5,14
6107,US,7/24/2020,61.2,72.2,81.6,28,40,54,6.4,7.6,8.7
16031,US,7/24/2020,55.4,63.1,71.5,32,42,54,5,6.7,8.2
41001,US,7/24/2020,54.7,68.3,84.4,14,34,55,4.1,5.5,6.7
32007,US,7/24/2020,53.5,73,88.2,12,30,55,4.3,5.8,7.3
16079,US,7/24/2020,56.7,64.9,74.3,26,40,55,4.4,5.8,7.1
53013,US,7/24/2020,54.8,66.4,78.5,16,34,55,3.6,4.9,6
32019,US,7/24/2020,59.8,74.6,89.9,11,32,55,3.8,6.2,7.5
56017,US,7/24/2020,58.3,72.2,86.7,15,32,55,4.9,6.2,7.8
49003,US,7/24/2020,63.9,74.6,82.6,34,43,56,7,9.1,11.2
4027,US,7/24/2020,77,90.4,104.6,11,31,56,3.5,9.1,13
53063,US,7/24/2020,58.9,69.4,81.2,23,39,56,5.3,6.1,7.2
48475,US,7/24/2020,76.6,89.3,99.5,23,37,56,10,11.8,13.8
49027,US,7/24/2020,64,78.5,91.5,11,28,56,4.2,6.2,8.5
6061,US,7/24/2020,64.3,75.4,86,31,44,56,7.3,8.9,10
41063,US,7/24/2020,49.2,63.1,78,24,40,57,4.3,5.5,6.5
49023,US,7/24/2020,60.4,76.6,89.5,10,27,57,3.2,5.5,7.7
49057,US,7/24/2020,58.5,71.9,84.3,23,36,57,5.3,7,8.5
30005,US,7/24/2020,63.6,74.9,85.3,22,38,57,6.2,7.5,9.5
