county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
6027,US,7/25/2020,67.1,78.7,88.6,9,14,19,2.3,3.6,4.8
32003,US,7/25/2020,74.9,88.4,98.6,7,14,24,3.1,4.2,6
32009,US,7/25/2020,61.7,77.6,91.4,7,16,29,2.7,3.5,4.4
6071,US,7/25/2020,74.4,89,101.3,10,16,27,4.1,5,5.7
32023,US,7/25/2020,55.3,74.1,88,10,16,28,2.9,3.4,4.1
49045,US,7/25/2020,73.6,84.7,94.8,8,16,26,3.2,4.6,6.1
32033,US,7/25/2020,53.8,70.3,82.8,9,18,35,2.7,3.4,4.4
32017,US,7/25/2020,66.2,76.9,87,11,18,33,3.1,4.1,5.6
4027,US,7/25/2020,70.3,90.4,107,13,19,28,3.8,6,7.5
32011,US,7/25/2020,59.4,75,88.4,9,19,35,3.2,4.1,4.9
32027,US,7/25/2020,65.6,81.5,96.3,8,19,33,3.3,4.6,5.5
32031,US,7/25/2020,68.6,83.7,97.7,10,20,35,3.7,5.3,6.1
41025,US,7/25/2020,50,68.2,84.8,8,20,39,1.9,3.3,4.3
4012,US,7/25/2020,72.8,91.6,106.4,6,20,38,3.6,5.9,9.5
32013,US,7/25/2020,59.2,77.2,93.3,9,21,35,3.6,4.5,5.2
49027,US,7/25/2020,66.4,80.7,95.4,7,21,40,3.3,5.1,6.8
32015,US,7/25/2020,58.1,73.1,84.1,12,21,40,3.7,4.4,5.3
32021,US,7/25/2020,57.6,72.2,84.7,7,22,42,2.4,4.2,5.4
49023,US,7/25/2020,62,78.1,92.6,8,23,49,3.2,5.1,6.9
41045,US,7/25/2020,58.9,72.3,85.8,14,24,38,3.6,4.5,5.3
