county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
32015,US,7/12/2020,61.7,75.8,88.5,5,9,13,1.8,2.2,2.7
32001,US,7/12/2020,60.6,72.3,83.1,8,13,17,1.6,2.7,3.5
32011,US,7/12/2020,58.8,77.3,94.1,5,10,18,1.9,2.2,2.7
49045,US,7/12/2020,72.9,86.5,99.1,6,11,18,2.4,3.3,4.4
32003,US,7/12/2020,87.7,98.9,107.5,10,13,18,5.4,6.2,7.2
6071,US,7/12/2020,85.9,100.3,113,9,13,18,5,5.9,6.6
6027,US,7/12/2020,77,88.3,99.3,9,13,19,3.9,4.6,5.4
32009,US,7/12/2020,69.5,86.5,101.7,7,13,21,2.9,4,5.3
49019,US,7/12/2020,75.2,88.2,101.8,10,15,21,4.3,5.3,6.3
35051,US,7/12/2020,74.6,91.1,102.2,8,14,23,4.1,5.1,6.3
35035,US,7/12/2020,80.4,92.2,104.7,8,15,23,4.2,5.4,6.4
6007,US,7/12/2020,77,87,97.3,7,17,23,2.7,4.8,6.4
8085,US,7/12/2020,63.7,72.9,81.3,13,17,23,2.9,4.2,5.3
32027,US,7/12/2020,60.1,82.3,97.3,5,11,24,1.6,2.8,3.9
32021,US,7/12/2020,59.9,76.9,91.6,7,15,24,2.7,3.4,4.6
32017,US,7/12/2020,74.7,86.4,96.7,10,16,24,4.3,5.1,5.8
16023,US,7/12/2020,62.7,69.8,77.2,13,17,24,2.5,3.5,4.6
32013,US,7/12/2020,58.7,78.8,95.8,3,12,25,1.1,2.6,3.6
32031,US,7/12/2020,55,80.6,98.7,3,12,25,1.5,2.7,3.7
4011,US,7/12/2020,79.4,93.9,108.2,8,16,25,4.6,6.2,7.2
32033,US,7/12/2020,60.6,77.3,90.7,8,14,26,2.2,3.4,4.1
35013,US,7/12/2020,76.9,91.7,104.6,9,17,26,4.8,5.9,7.5
8091,US,7/12/2020,65.2,78,90.1,13,18,26,2.4,4.9,6
8077,US,7/12/2020,69.8,83.1,94,12,16,27,3.6,5,6.6
35017,US,7/12/2020,70.7,86.9,101.3,9,17,27,4.4,5.6,6.9
32029,US,7/12/2020,62.3,74.8,87.1,9,18,27,3.1,3.8,4.4
6065,US,7/12/2020,83.6,95.9,106.6,13,18,27,6,7.3,8.4
6069,US,7/12/2020,66.2,80.4,93.7,11,17,28,3,4.2,5.4
49015,US,7/12/2020,70.8,83.5,95.2,10,19,28,4.5,5.7,6.8
8113,US,7/12/2020,61.2,75.4,87.5,13,19,28,2.4,4.8,6.9
6037,US,7/12/2020,76.4,83.6,93.1,12,19,28,2.8,5.6,9.6
49037,US,7/12/2020,71.4,79.4,89.2,12,20,28,4.6,5.6,6.8
49053,US,7/12/2020,72.2,83.3,91.8,17,21,28,4.9,6.4,7.5
48141,US,7/12/2020,75.8,90.9,104.2,8,17,29,4.3,5.7,6.7
