county_fips_code,country,date,min_temperature_air_2m_f,avg_temperature_air_2m_f,max_temperature_air_2m_f,min_humidity_relative_2m_pct,avg_humidity_relative_2m_pct,max_humidity_relative_2m_pct,min_humidity_specific_2m_gpkg,avg_humidity_specific_2m_gpkg,max_humidity_specific_2m_gpkg
49055,US,7/10/2020,58.2,84.1,101.1,3,6,11,1.1,1.8,2.2
8077,US,7/10/2020,67.1,80.1,93.6,3,7,11,1.3,1.9,3.3
49017,US,7/10/2020,60,78.8,95.2,3,6,12,1,1.5,2.2
8085,US,7/10/2020,59.5,68.7,79.3,4,8,12,1.2,1.6,2.2
49037,US,7/10/2020,64.1,74.6,85.7,4,8,12,1.4,1.7,2.4
49041,US,7/10/2020,57,72.5,85.4,6,9,12,1.4,1.9,2.5
8091,US,7/10/2020,61.3,75.2,88.1,6,9,13,1.2,2.3,3.5
49019,US,7/10/2020,65.1,82.1,96.6,4,7,14,1.5,1.9,2.5
49045,US,7/10/2020,71.8,83.9,94.8,6,9,14,1.8,2.7,3.7
49007,US,7/10/2020,61.7,78.1,91.2,5,9,14,1.8,2.2,2.9
8113,US,7/10/2020,58.9,72.1,85,4,9,14,1.3,1.9,2.7
49027,US,7/10/2020,64.3,83.1,99.1,4,8,15,1.7,2.1,2.7
49015,US,7/10/2020,62.1,79,92.8,4,9,15,1.7,2.1,2.7
32017,US,7/10/2020,66.4,80.8,92.8,3,9,15,1.4,2.2,3.6
32003,US,7/10/2020,78,92.6,104,6,11,15,1.8,4.2,5.7
49031,US,7/10/2020,58.1,71.8,85,5,9,16,1.4,1.9,2.8
49023,US,7/10/2020,61.5,79.1,94.4,5,10,16,1.6,2.4,3.8
8045,US,7/10/2020,51.4,63.7,74.1,8,13,16,1.5,2.2,2.9
8103,US,7/10/2020,56.7,73,86.6,6,11,17,2.1,2.4,2.8
35028,US,7/10/2020,69.3,79.7,90.6,8,12,17,2.9,3.4,3.8
8109,US,7/10/2020,51.8,69.1,84.6,4,10,18,1.3,2,2.9
8029,US,7/10/2020,55.7,71.9,86.3,6,11,18,1.7,2.3,3.1
35043,US,7/10/2020,71.2,84.8,98.5,8,12,18,2.9,3.9,4.7
49025,US,7/10/2020,57,80.7,98.3,4,10,19,1.4,2.8,4.6
32033,US,7/10/2020,55.4,73.1,87,7,11,19,1.7,2.4,2.9
8097,US,7/10/2020,51.7,62.4,74.3,9,13,19,1.8,2.2,2.7
49001,US,7/10/2020,59.6,76.8,91.5,4,10,20,1.6,2.4,4.4
32023,US,7/10/2020,57.9,77.1,92.4,3,11,20,1.4,2.4,3.5
6027,US,7/10/2020,67,82.2,93.9,7,12,20,2.5,3.4,5
32009,US,7/10/2020,64.3,81.3,96.8,5,12,20,2.2,3.1,4
35045,US,7/10/2020,66.5,79.6,91.5,9,14,20,2.1,3.8,5.4
49053,US,7/10/2020,65,77,86.7,8,13,21,1.6,3.4,5.9
35053,US,7/10/2020,78.8,90.7,103.7,7,13,21,3.8,4.6,5.9
6071,US,7/10/2020,76.2,93.2,107,8,14,21,3.7,5,6.8
8105,US,7/10/2020,57.6,71,86,10,15,21,1.8,3.3,4.6
8079,US,7/10/2020,47,59.8,71.2,7,15,21,1.5,2.4,3.5
35039,US,7/10/2020,61.1,76.1,88.1,7,12,22,2.2,2.9,3.7
8053,US,7/10/2020,49,59.4,70.9,8,14,22,1.2,2.3,3.4
35031,US,7/10/2020,66.1,77,88.1,11,14,23,2.5,3.8,5.1
35051,US,7/10/2020,79.7,91.7,103.3,7,14,23,3.9,5.1,7.1
8015,US,7/10/2020,51.8,66.9,79.9,5,12,24,1.4,2.1,3.5
35049,US,7/10/2020,62.1,81.9,96.8,7,13,24,2.6,3.6,4.3
8021,US,7/10/2020,48.2,71.1,86,6,12,25,1.4,2.5,3.6
8019,US,7/10/2020,49.9,65.3,78.9,7,13,25,1.9,2.3,2.9
4011,US,7/10/2020,80.9,93.8,107.8,10,18,25,5.5,6.8,8.8
35027,US,7/10/2020,71.5,84.9,97.8,8,17,26,4.1,5.2,6.6
4009,US,7/10/2020,85.6,98.4,113,9,18,27,6.3,7.8,9
4015,US,7/10/2020,69.5,89.5,103.3,13,19,27,3.5,6.4,8.4
35035,US,7/10/2020,80.1,91,104.4,13,19,27,4.8,7.1,8.2
32011,US,7/10/2020,56.5,74.2,90.3,6,13,28,2,2.6,3.5
35006,US,7/10/2020,65.1,79,91.7,10,17,28,3.6,4.4,5.2
35013,US,7/10/2020,78.5,91.9,103.8,11,18,28,5.8,6.6,7.3
35017,US,7/10/2020,75.9,87.4,100.2,9,19,28,4.4,6.1,7.2
56041,US,7/10/2020,52.2,67.3,79.9,13,18,29,2.2,3.3,3.9
4007,US,7/10/2020,77.4,90.7,104.3,14,22,29,6.6,7.8,9.4
8081,US,7/10/2020,48.9,72.8,92.4,5,14,30,2.2,2.6,3.3
56037,US,7/10/2020,47.5,70.2,86.6,8,16,30,2.4,2.9,3.2
8067,US,7/10/2020,55.1,72.5,88.8,7,17,30,2.4,3.3,4.7
35001,US,7/10/2020,70.5,88.2,102.9,8,17,30,4.6,5.3,6.5
4013,US,7/10/2020,86.7,98.8,109.9,12,20,30,6.5,8.3,9.3
6065,US,7/10/2020,72.3,87.6,97.8,17,22,30,4.5,6.8,8.5
32015,US,7/10/2020,58,72.4,85.1,6,13,31,1.3,2.5,4.1
35047,US,7/10/2020,69.5,86.9,99.6,7,15,31,3.4,4.6,6.9
8033,US,7/10/2020,44.1,64.1,82,5,16,31,1.5,2.2,3
49013,US,7/10/2020,53.6,71.8,84.8,12,18,31,2.3,3.7,4.6
32005,US,7/10/2020,49.8,69,83.8,7,19,31,2.1,3.5,5.5
6037,US,7/10/2020,68.3,79.5,90.1,10,20,31,1.8,5.1,8.8
4017,US,7/10/2020,68.2,82.3,94.4,12,21,31,5.3,6,8.2
49057,US,7/10/2020,61.6,74.8,85.7,15,22,31,3.3,4.8,6.9
8117,US,7/10/2020,42.6,61.7,78.7,8,18,32,2.2,2.8,3.6
49043,US,7/10/2020,47.7,59.9,72.9,15,21,32,2.2,3.3,4.2
56007,US,7/10/2020,50.1,72.1,88.1,7,15,33,1.8,2.7,3.6
35055,US,7/10/2020,50,73.8,93.6,6,16,33,2.5,3.3,4.1
49035,US,7/10/2020,70.2,82.9,92.4,10,16,33,2.9,4.4,6.2
49009,US,7/10/2020,52.1,67.2,80,12,18,33,2,3.4,5.2
49021,US,7/10/2020,49.6,75.2,93,8,19,33,2.4,4,5.6
49051,US,7/10/2020,49.1,60,70.7,14,20,33,2,3,4.9
16023,US,7/10/2020,57.9,66.7,74.9,15,23,33,2.6,4.1,5.8
35003,US,7/10/2020,67.2,78.4,92,10,23,33,4.2,5.9,8.5
32021,US,7/10/2020,55,72.7,87.8,7,16,34,1.9,3,3.9
35029,US,7/10/2020,74.6,92.2,106.5,8,17,34,4.6,5.9,7.7
